"","IDs","tstat","pval","adjp"
"1094","228004_at","8.03145898646332","3.04322162797039e-09",1.02501237560275e-07
"982","225968_at","-10.5098952351065","4.04410272650227e-09",1.33185783126141e-07
"717","215049_x_at","-9.98404784475625","4.60401644504222e-09",1.46779693614413e-07
"969","225464_at","-9.84169459609275","4.66552654948192e-09",1.46779693614413e-07
"1035","227061_at","-10.5103870150879","4.75399817374616e-09",1.46779693614413e-07
"178","204051_s_at","-9.62127044413619","5.00219158474556e-09",1.51290774052917e-07
"153","203695_s_at","-10.4095110867963","5.17679294437735e-09",1.53440142871345e-07
"92","201430_s_at","-8.05967870576524","5.92703876552342e-09",1.72232773539328e-07
"974","225681_at","-7.76234064756519","6.11545227095937e-09",1.74290389722342e-07
"776","218502_s_at","-7.89454096271661","6.73686893096311e-09",1.88378108597874e-07
"538","209955_s_at","-7.82856530610844","7.20599511156341e-09",1.9776453250624e-07
"422","206584_at","-7.96296970023732","8.18430988958409e-09",2.20529950115702e-07
"1039","227140_at","-8.161034490297","8.5183708386524e-09",2.25432599694337e-07
"576","210809_s_at","-7.66584716547124","8.8703278226489e-09",2.30628523388871e-07
"492","209210_s_at","-8.99049561463432","9.03848446943543e-09",2.30948861787988e-07
"610","212489_at","-7.90171076717907","9.83321603647757e-09",2.4699705366203e-07
"144","203477_at","-7.7044804325422","1.10019159791708e-08",2.67292450510346e-07
"535","209946_at","-10.2328393065433","1.08521223070251e-08",2.67292450510346e-07
"660","213800_at","-9.14478437282549","1.12746639329563e-08",2.6950083788131e-07
"1036","227070_at","-7.78843444399181","1.22519916492633e-08",2.88213517844575e-07
"1186","229802_at","-8.43747251973439","1.25547933313056e-08",2.90721933078045e-07
"211","204464_s_at","-8.14508114064101","1.27775275434229e-08",2.91327627990042e-07
"356","205880_at","-10.4803713851481","1.34605546464919e-08",2.97739432628373e-07
"746","216321_s_at","-8.1706442263215","1.3409355168729e-08",2.97739432628373e-07
"37","1555229_a_at","-8.33814776000519","1.38451629591493e-08",3.01743110374401e-07
"215","204527_at","-8.93530275596395","1.42561207259094e-08",3.06196679939098e-07
"210","204463_s_at","-8.06707031120924","1.48150516576522e-08",3.09238120516064e-07
"844","220234_at","7.51007460188229","1.47041917969682e-08",3.09238120516064e-07
"93","201431_s_at","-7.58680351762009","1.51940522406627e-08",3.12744241953641e-07
"977","225782_at","-8.9151409008149","1.77212864639925e-08",3.5976639095393e-07
"111","202311_s_at","-7.36301589986369","1.88425073107981e-08",3.77359403170308e-07
"1312","235318_at","-10.2288905152998","2.00522856065367e-08",3.96233163585165e-07
"123","202765_s_at","-9.55153102185099","2.34584799971904e-08",4.56435120125167e-07
"1052","227376_at","-9.28719890677182","2.37149151482037e-08",4.56435120125167e-07
"605","212262_at","-8.79474464686083","2.62480156214145e-08",4.98712296806876e-07
"374","206025_s_at","-8.33453692971291","2.72436401317051e-08",5.1107689462262e-07
"1016","226695_at","-7.41457450497525","3.26801323391605e-08",6.05399451582948e-07
"731","215446_s_at","-8.10595775942279","3.52788531505501e-08",6.45472350235991e-07
"1097","228080_at","-10.1476236030786","3.58696342889993e-08",6.48278024588987e-07
"97","201617_x_at","-8.05969676583119","3.75525053720766e-08",6.70515818812259e-07
"596","211597_s_at","-8.38277691322055","4.00538366973557e-08",7.06664118874776e-07
"514","209656_s_at","-7.51382574018476","4.08585403591547e-08",7.12380668379615e-07
"961","225021_at","-7.43628459664136","4.51426020704024e-08",7.68980876647544e-07
"1479","37892_at","-8.39780431680278","4.4898901018781e-08",7.68980876647544e-07
"86","200986_at","-9.11627119773675","4.5662813012487e-08",7.69003282778474e-07
"671","213943_at","-7.58704120569501","4.64773504030956e-08",7.71342365301423e-07
