"","GSM972389","GSM972390","GSM972396","GSM972401","GSM972409","GSM972412","GSM972413","GSM972422","GSM972429","GSM972433","GSM972438","GSM972440","GSM972443","GSM972444","GSM972446","GSM972453","GSM972457","GSM972459","GSM972463","GSM972467","GSM972472","GSM972473","GSM972475","GSM972476","GSM972477","GSM972479","GSM972480","GSM972487","GSM972488","GSM972489","GSM972496","GSM972502","GSM972510","GSM972512","GSM972521"
"205991_s_at",7.49966589257559,5.2153278065311,4.90131658212328,8.14086055209676,7.86239622597325,5.36002263668931,8.36674754209085,6.81526272706633,4.4645589370154,7.1361615545049,7.36075698610178,6.87413381249323,4.85506391261959,6.26883309593144,5.17569411366689,3.91770346626464,6.70456319202331,5.07723311781339,4.34421373210469,6.25654384370482,6.95417120686616,5.15122051082204,6.44514129577697,7.66749837512498,4.05137379046908,9.76332704248534,4.67795098847013,4.75293905660101,5.43478071775947,5.67824029319649,4.35286257685781,4.67180360486228,4.26167052994113,5.42628122378476,5.99523597744505
"206000_at",5.42818635830252,8.24775834946569,8.4677908343117,5.82655178024916,7.4885041525132,8.86761577821649,6.52408530878629,7.51526043086167,10.225453937576,7.91609220214584,4.93025294691494,5.69497524917849,7.82244309451739,3.83436321875557,8.6414033146131,6.96305116532595,8.99779803535782,7.72334227108427,9.52987242490344,7.71236396662521,7.38333881353722,9.21705909540313,9.6799388107983,5.53809254183773,8.80255088523574,2.88954702718457,8.68131221585584,10.3698366978977,8.21997356917473,8.06705448433166,9.23266327596466,7.78363733649479,8.75619828487447,9.79443439610198,7.97440547867605
"206023_at",6.07885517630777,7.84659456124613,6.53546060552135,6.28048074568527,5.69471826965523,6.43266790324939,4.83541660941575,5.78355194935323,5.54577190183813,5.53636708577527,6.13734702866695,4.86690924548002,3.23372577826485,8.42007652538497,6.44778568401357,6.87015463891348,7.22682939876521,7.09538537013414,5.67903357870018,6.04286681045258,7.96740679151987,4.72867530587824,5.9235800789623,7.52570733942541,8.93437665392558,8.7024366164947,5.36129046633468,8.22346987425796,7.75922937210276,6.9564420924639,6.37184922279036,9.26081868824873,6.64866466405603,6.7224144188232,6.16043909474352
"206025_s_at",5.68191727758456,4.93926420308555,5.25230985759857,9.9574651509644,7.09767602926025,5.8710203983789,7.96621782284208,7.21075192352069,4.63737330758354,8.57915804755687,9.17470636130999,8.59516953539951,5.10693651205353,9.17149457877423,7.00496543840332,4.41633211634894,4.39997603622614,6.43823401951505,4.43555861629551,7.10429782005217,8.11390165190661,6.82248654705151,4.04528399034425,8.5483692819763,5.345752299786,9.37592944071345,4.83949411536068,5.16719228780936,4.52472785773388,5.65822145686805,4.79017607175884,5.98290865215468,4.99538462675836,5.85323176892324,7.29675083229089
"206026_s_at",5.31782803079554,4.55679683553228,4.34808090698685,9.22753348954088,6.6305012667886,5.32128472170806,7.82543055787957,6.77919909598614,3.37559370475582,8.13159529523475,8.68899464320096,8.30164558325317,4.44739522005677,8.67467120742521,6.35692163468016,3.93425689448683,3.83949039990876,6.61169217139499,3.82436988977812,6.81127513495671,7.51134665820867,6.58769482680048,3.60910708896961,8.31513289416906,4.1360009518069,8.82594846982351,3.98008463843618,4.65662057100379,3.7229644465025,5.19185835466944,3.63289520693375,4.83238261734591,4.46559759731171,5.96120307652262,7.11214247113377
"206032_at",7.5666841800974,5.19736460055441,7.2102114151756,3.4920798066537,4.20448356301004,3.51433590110315,3.53149123898431,3.19145511002868,3.27426942081694,3.19867241647873,4.57757457130878,4.99085438631715,2.87944499515845,3.63482943545164,3.56681589151322,4.61444525939139,6.07926916008385,7.03372541647354,3.35844473106546,4.32088370149054,3.66449559044136,3.36796897628247,7.54198130566534,3.60416783228568,3.455741799418,7.35871588729795,3.25753858763976,2.85966158272351,6.103550059723,7.27038854177854,3.5735992698578,3.63616694201046,3.93227541402744,3.72291443110689,3.23944817397819
"206033_s_at",7.18667344082335,5.33981344285909,6.6849808374014,3.46598260179793,3.63375375157917,3.24095312912648,3.72418521856777,3.59303612757087,3.39054429793995,3.11894740863373,4.49431066593416,4.03015027630591,3.35118244737929,3.34291352161903,3.39481614139942,4.13675913666967,5.11179595506302,6.31726267989967,3.13484779136988,3.65456757620812,3.72002958984317,3.1804434218829,7.61220625522234,3.66205292575771,3.39793256652557,6.9825574862552,3.0219326141574,3.13982221559488,6.32652646665337,7.050480399715,3.51321173293651,3.62296064726394,3.92184348634922,3.18019743102416,3.11032580432888
"206067_s_at",3.31077049248762,5.30260482070444,3.65699592840315,3.63090636277509,5.1128481085539,3.08741520368581,6.53025644006326,5.1055264649345,4.94897502223026,4.98586701532563,5.01721769610781,5.70181890863321,4.00536573323854,3.95796507638168,4.07435777929703,5.28106573966991,2.90227426882883,3.77295318742988,3.24136436695635,5.91988906862816,3.86998725561809,3.0158736151707,3.11471781985365,4.85828433343881,3.86067898842748,5.26277323384261,6.71400707078332,3.14779579453047,5.13098655073063,2.95330653045702,3.00382268637928,3.61764584082023,4.56371266402642,4.95672634112461,4.02648870185731
"206070_s_at",3.68175792300534,3.69028341257542,3.2216580277806,4.09172278921271,6.37058199976371,3.43737881297673,6.2895955728061,3.61603483169933,3.09722078457098,6.13449329258328,4.3419229293267,3.64537967274392,3.0832196034664,4.50865831771218,3.21243528092117,3.41048996624528,3.90670033282622,3.29405535517505,3.15180320300586,6.18162187661363,3.43884210746765,3.83603463044182,3.38341629672334,7.10292454513071,3.3539130530657,5.38731040147616,3.3320722578109,3.79154077032942,3.44213772033328,3.77276147840562,3.43861357078039,3.62377892478469,4.03727785907637,4.01037698136065,4.58224012720778
"206084_at",5.27871319625955,4.71795570940089,4.3860637493364,3.3012751930488,3.65388389043302,3.40301211214278,6.26164335911133,4.92846533864397,3.8704494113862,5.92843440685475,4.4504116511683,6.67262866296881,6.19306202517726,8.25566528112808,4.31262795422488,5.67107283110979,5.23845275525336,4.96828124063596,3.63276429051328,5.51197104986655,4.4305840618886,5.15693580330845,2.96349638794199,4.81500481884024,3.06996078121227,3.09374957847187,4.64582003639001,5.71654568014268,5.84766355673431,5.67493467526761,3.50637758099346,3.77745579420872,3.61367146078327,5.6081881348966,4.57101973984946
