"","IDs","tstat","pval","adjp"
"856","201426_s_at","-9.6603096570792","2.89195436709095e-10",1.07221701224007e-07
"3252","209335_at","-10.3411904938355","3.1002688544575e-10",1.11113635743757e-07
"7490","226777_at","-9.98668288579768","3.25744510612932e-10",1.12980805745492e-07
"667","200600_at","-8.75920792796629","4.54368469932158e-10",1.2667281631977e-07
"771","201069_at","-9.34699344547395","4.08736633397017e-10",1.2667281631977e-07
"996","201843_s_at","-10.7477743432848","5.00016216970068e-10",1.2667281631977e-07
"1001","201852_x_at","-8.72036151515654","4.96605755548685e-10",1.2667281631977e-07
"1783","204130_at","9.0526346778112","4.79325849713719e-10",1.2667281631977e-07
"2217","205100_at","-13.1106694198686","5.065970146717e-10",1.2667281631977e-07
"4385","213413_at","-10.3496214032715","4.61227473493651e-10",1.2667281631977e-07
"5156","217767_at","-9.13859148168301","4.98062958237664e-10",1.2667281631977e-07
"7005","225481_at","-10.4753043169296","4.55403948793188e-10",1.2667281631977e-07
"7297","226311_at","-9.16967008495242","4.91998271037265e-10",1.2667281631977e-07
"7611","227059_at","-10.7667610811639","4.29413100715832e-10",1.2667281631977e-07
"7947","227961_at","-9.30212279658472","4.87085505938145e-10",1.2667281631977e-07
"8885","231579_s_at","-9.50326935243929","5.57890195201939e-10",1.36328076791165e-07
"4540","213905_x_at","-9.07489408677396","5.86537794014713e-10",1.40143430249915e-07
"773","201105_at","-8.77505572440064","6.05413737183828e-10",1.4150888048262e-07
"995","201842_s_at","-9.61871264602951","7.08159496036447e-10",1.46890758598449e-07
"3757","211161_s_at","-8.76032218529844","6.50709959669884e-10",1.46890758598449e-07
"4127","212636_at","-10.3482313989187","7.10409174769285e-10",1.46890758598449e-07
"6731","224560_at","-9.70764145265791","6.78362429150679e-10",1.46890758598449e-07
"7086","225710_at","-10.0420336907176","7.09797252666377e-10",1.46890758598449e-07
"7811","227566_at","-9.28309661110745","6.85221621232642e-10",1.46890758598449e-07
"1110","202237_at","-8.75512983026658","7.34391715053726e-10",1.48984523023729e-07
"7273","226237_at","-9.00398511682133","7.55264247317441e-10",1.50381503465873e-07
"1014","201893_x_at","-9.59539325625255","7.78195460534057e-10",1.52130138030221e-07
